#Name;Name mit Ort;Nummer;Globale ID;GKZ;Gemeinde;Teilort;Landkreis;Tarifzonen;Verkehrsmittel;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate
Teckstraße;Kirchheim (T) Teckstraße;4319;de:08116:4319;8116033;Kirchheim unter Teck;Kirchheim (T);ES;5,61;"Bus;Ruftaxi";163,173,173A,175,175A,177,177A,RT163,RT177;31163_,31173_,31173a,31175_,31175a,31177_,31177a,50163_,50177_;9;31,5;9,455389091;48,64668668
Schlossgymnasium;Kirchheim (T) Schlossgymnasium;4350;de:08116:4350;8116033;Kirchheim unter Teck;Kirchheim (T);ES;5,61;"Bus;Ruftaxi";163,914A,RT163;31163_,31914a,50163_;3;31,5;9,467504289;48,64483956
Saarstraße;Kirchheim (T) Saarstraße;3948;de:08116:3948;8116033;Kirchheim unter Teck;Kirchheim (T);ES;5,61;"Bus;Ruftaxi";164,165,165A,RT17;31164_,31165_,31165a,51017_;4;31,51;9,450340911;48,6543143
Austraße;Kirchheim (T) Austraße;3947;de:08116:3947;8116033;Kirchheim unter Teck;Kirchheim (T);ES;5,61;"Bus;Ruftaxi";164,165,RT17;31164_,31165_,51017_;3;31,51;9,45061856;48,65196614
Rathaus;Jesingen Rathaus;4323;de:08116:4323;8116033;Kirchheim unter Teck;Jesingen;ES;5,61,71;"Bus;Ruftaxi";165,170,173,173A,175,175A,177,177A,RT165,RT177;31165_,31170_,31173_,31173a,31175_,31175a,31177_,31177a,50165_,50177_;10;31,5;9,489049462;48,63876989
Wartehalle;Jesingen Wartehalle;4322;de:08116:4322;8116033;Kirchheim unter Teck;Jesingen;ES;5,61,71;"Bus;Ruftaxi";165,173,173A,175,175A,177,177A,RT165,RT177;31165_,31173_,31173a,31175_,31175a,31177_,31177a,50165_,50177_;9;31,5;9,4833184;48,6396574
Fauslerstraße;Jesingen Fauslerstraße;4387;de:08116:4387;8116033;Kirchheim unter Teck;Jesingen;ES;5,61,71;"Bus;Ruftaxi";165,173,173A,175,175A,177,177A,RT165,RT177;31165_,31173_,31173a,31175_,31175a,31177_,31177a,50165_,50177_;9;31,5;9,477432893;48,64145353
Stadion;Kirchheim (T) Stadion;4320;de:08116:4320;8116033;Kirchheim unter Teck;Kirchheim (T);ES;5,61;"Bus;Ruftaxi";165,173,173A,175,175A,177,177A,RT177;31165_,31173_,31173a,31175_,31175a,31177_,31177a,50177_;8;31,5;9,468175348;48,64257069
Schillerstraße;Zell (A) Schillerstr.;12113;de:08117:2113;8117060;Zell unter Aichelberg;Zell (A);GP;5;"Bus;Nachtbus;Ruftaxi";165,920,920A,921,921A,922,922A,923,924,924A,N92,RT165,RT920,RT924;31165_,31920_,31920a,31921_,31921a,31922_,31922a,31923_,31924_,31924a,34092_,50165_,50920_,50924_;14;31,34,50;9,575913129;48,64921298
Katholische Kirche;Zell (A) Kath. Kirche;12114;de:08117:2114;8117060;Zell unter Aichelberg;Zell (A);GP;5;"Bus;Nachtbus;Ruftaxi";165,920,920A,921,921A,922,922A,923,924,924A,N92,RT165,RT924;31165_,31920_,31920a,31921_,31921a,31922_,31922a,31923_,31924_,31924a,34092_,50165_,50924_;13;31,34,50;9,571246835;48,65181713
Bohnauhaus;Kirchheim (T) Bohnauhaus;3952;de:08116:3952;8116033;Kirchheim unter Teck;Kirchheim (T);ES;5,61;"Bus;Ruftaxi";165,RT165;31165_,50165_;2;31,5;9,464045346;48,63761451
Otto-Hahn-Straße;Kirchheim (T) Otto-Hahn-Straße;3953;de:08116:3953;8116033;Kirchheim unter Teck;Kirchheim (T);ES;5,61;"Bus;Ruftaxi";165,RT165;31165_,50165_;2;31,5;9,469940274;48,6353694
Willi-Bleicher-Straße;Kirchh.(T) Willi-Bleicher-Str.;3954;de:08116:3954;8116033;Kirchheim unter Teck;Kirchheim (T);ES;5,61;"Bus;Ruftaxi";165,RT165;31165_,50165_;2;31,5;9,472679546;48,63811891
Einsteinstraße;Kirchheim (T) Einsteinstraße;3955;de:08116:3955;8116033;Kirchheim unter Teck;Kirchheim (T);ES;5,61;"Bus;Ruftaxi";165,RT165;31165_,50165_;2;31,5;9,474321823;48,64106173
Heinkelstraße;Kirchheim (T) Heinkelstraße;3956;de:08116:3956;8116033;Kirchheim unter Teck;Kirchheim (T);ES;5,61;"Bus;Ruftaxi";165,RT165;31165_,50165_;2;31,5;9,472679546;48,63811891
Gaiserplatz;Kirchheim (T) Gaiserplatz;3958;de:08116:3958;8116033;Kirchheim unter Teck;Kirchheim (T);ES;5,61;"Bus;Ruftaxi";165,RT165;31165_,50165_;2;31,5;9,453023001;48,6416152
Zeller Straße;Ohmden Zeller Straße;4303;de:08116:4303;8116053;Ohmden;Ohmden;ES;71,5;"Bus;Ruftaxi";165,RT165;31165_,50165_;2;31,5;9,529066686;48,64684805
Friedhof;Ohmden Friedhof;4390;de:08116:4390;8116053;Ohmden;Ohmden;ES;5,71;"Bus;Ruftaxi";165,RT165;31165_,50165_;2;31,5;9,519359891;48,64517469
Rathaus;Ohmden Rathaus;4391;de:08116:4391;8116053;Ohmden;Ohmden;ES;5,71;"Bus;Ruftaxi";165,RT165;31165_,50165_;2;31,5;9,524695798;48,64543824
Siedlung;Ohmden Siedlung;4392;de:08116:4392;8116053;Ohmden;Ohmden;ES;5,71;"Bus;Ruftaxi";165,RT165;31165_,50165_;2;31,5;9,533841132;48,64789612
Bohnau;Kirchheim (T) Bohnau;4823;de:08116:4823;8116033;Kirchheim unter Teck;Kirchheim (T);ES;5,61;"Bus;Ruftaxi";165,RT165;31165_,50165_;2;31,5;9,467986999;48,63395652
Alte Plochinger Steige;Kirchh.(T) Alte Ploch. Steige;3950;de:08116:3950;8116033;Kirchheim unter Teck;Kirchheim (T);ES;5,61;"Bus;Ruftaxi";165A,RT17;31165a,51017_;2;31,51;9,441279447;48,66112083
Realschule;Nürtingen Realschule;4302;de:08116:4302;8116049;Nürtingen;Nürtingen;ES;50,60,4,5;Bus;166,169,184,196;31166_,31169_,31184_,31196_;4;31;9,334119242;48,63213023
Krankenhaus;Nürtingen Krankenhaus;4445;de:08116:4445;8116049;Nürtingen;Nürtingen;ES;4,5,50,60;Bus;166,171,182,183,185,185A,186,188,189,195;31166_,31171_,31182_,31183_,31185_,31185A,31186_,31188_,31189_,31195_;10;31;9,356914374;48,63060492
Säerstraße;Nürtingen Säerstraße;4444;de:08116:4444;8116049;Nürtingen;Nürtingen;ES;4,5,50,60;Bus;166,171,182,183,185,185A,195;31166_,31171_,31182_,31183_,31185_,31185A,31195_;7;31;9,347097961;48,63143532
